api,lat NAD83,long NAD83
05134279,30.438562,-96.671533
17734483,29.528009,-97.425946
47731199,30.205094,-96.629952
28732761,30.266841,-96.673495
28732762,30.269534,-96.671029
47731197,30.198338,-96.628972
17734484,29.459347,-97.232691
17734485,29.458246,-97.230840
17734486,29.457156,-97.228640
17734487,29.459351,-97.224796
05535167,29.748815,-97.703380
47731201,30.137940,-96.746170
47731200,30.138891,-96.744917
