Status Date,Status #,API NO.,Operator Name/Number,Lease Name,Well #,Dist.,County,Wellbore Profile,Filing Purpose,Amend,Total Depth,Stacked Lateral Parent Well DP #,Current Queue
Submitted 06/28/2021 Approved 06/16/2022,870854,33135113,"CALISTOGA ENERGY RESERVES, LLC (123871)",LG,1,1,CALDWELL,Vertical,New Drill,N,4000,,APPROVED
Submitted 06/28/2021 Approved 06/16/2022,870854,05134280,"CALISTOGA ENERGY RESERVES, LLC (123871)",LG,1,1,CALDWELL,Vertical,New Drill,N,4000,,APPROVED
Submitted 06/28/2021 Approved 06/16/2022,870854,17734488,"CALISTOGA ENERGY RESERVES, LLC (123871)",LG,1,1,CALDWELL,Vertical,New Drill,N,4000,,APPROVED
Submitted 06/28/2021 Approved 06/16/2022,870854,05535171,"CALISTOGA ENERGY RESERVES, LLC (123871)",LG,1,1,CALDWELL,Vertical,New Drill,N,4000,,APPROVED
Submitted 06/28/2021 Approved 06/16/2022,870854,17734490,"CALISTOGA ENERGY RESERVES, LLC (123871)",LG,1,1,CALDWELL,Vertical,New Drill,N,4000,,APPROVED
Submitted 06/28/2021 Approved 06/16/2022,870854,05134280,"CALISTOGA ENERGY RESERVES, LLC (123871)",LG,1,1,CALDWELL,Vertical,New Drill,N,4000,,APPROVED
Submitted 06/28/2021 Approved 06/16/2022,870854,05535174,"CALISTOGA ENERGY RESERVES, LLC (123871)",LG,1,1,CALDWELL,Vertical,New Drill,N,4000,,APPROVED
Submitted 06/28/2021 Approved 06/16/2022,870854,05535176,"CALISTOGA ENERGY RESERVES, LLC (123871)",LG,1,1,CALDWELL,Vertical,New Drill,N,4000,,APPROVED
Submitted 06/28/2021 Approved 06/16/2022,870854,47731251,"CALISTOGA ENERGY RESERVES, LLC (123871)",LG,1,1,CALDWELL,Vertical,New Drill,N,4000,,APPROVED
